rank,id,object_type,RA,Dec,constellation,major_axis_deg,minor_axis_deg,mag_v,mag_b,mag_proxy,wikipedia_url,common_names,identifiers
25,NGC2422,OCl,07:36:35.02,-14:28:57.4,Pup,19.8,,4.4,4.42,4.4,https://en.wikipedia.org/wiki/Messier_47,,MWSC 1278
26,NGC2287,OCl,06:45:59.94,-20:45:15.2,CMa,12.0,,4.5,4.89,4.5,https://en.wikipedia.org/wiki/Messier_41,,MWSC 0978
30,NGC7092,OCl,21:31:48.32,+48:26:17.4,Cyg,19.5,,4.6,4.66,4.6,https://en.wikipedia.org/wiki/Messier_39,,MWSC 3521
31,IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.1,,4.6,5.29,4.6,https://en.wikipedia.org/wiki/Messier_25,,MWSC 2940
39,NGC6254,GCl,16:57:08.99,-04:05:57.6,Oph,9.3,,4.98,,4.98,https://en.wikipedia.org/wiki/Messier_10,,MWSC 2498
42,NGC2168,OCl,06:09:05.06,+24:20:19.1,Gem,24.0,,5.1,5.31,5.1,https://en.wikipedia.org/wiki/Messier_35,,MWSC 0754
45,NGC1039,OCl,02:42:07.40,+42:44:46.1,Per,22.5,,5.2,5.37,5.2,https://en.wikipedia.org/wiki/Messier_34,,MWSC 0223
50,NGC6121,GCl,16:23:35.40,-26:31:31.9,Sco,28.2,,5.4,,5.4,https://en.wikipedia.org/wiki/Messier_4,,MWSC 2396
54,NGC6494,OCl,17:57:04.77,-18:59:07.2,Sgr,16.8,,5.5,6.03,5.5,https://en.wikipedia.org/wiki/Messier_23,,MWSC 2757
57,NGC6273,GCl,17:02:37.68,-26:16:04.6,Oph,7.5,,5.57,8.45,5.57,https://en.wikipedia.org/wiki/Messier_19,,MWSC 2519
59,NGC2099,OCl,05:52:18.35,+32:33:10.8,Aur,11.4,,5.6,6.19,5.6,https://en.wikipedia.org/wiki/Messier_37,,MWSC 0689
64,NGC6402,GCl,17:37:36.16,-03:14:45.3,Oph,,,5.73,9.55,5.73,https://en.wikipedia.org/wiki/Messier_14,,MWSC 2643
67,NGC2548,OCl,08:13:43.18,-05:45:01.6,Hya,28.2,,5.8,6.11,5.8,https://en.wikipedia.org/wiki/Messier_48,,MWSC 1454
73,NGC2323,OCl,07:02:40.47,-08:21:50.5,Mon,14.1,,5.9,6.27,5.9,https://en.wikipedia.org/wiki/Messier_50,,MWSC 1072
77,NGC6531,OCl,18:04:13.45,-22:29:24.2,Sgr,6.0,,5.9,,5.9,https://en.wikipedia.org/wiki/Messier_21,,MWSC 2796
78,NGC5904,GCl,15:18:33.75,+02:04:57.7,Se1,15.0,,5.95,7.34,5.95,https://en.wikipedia.org/wiki/Messier_5,,MWSC 2286
83,NGC1960,OCl,05:36:17.74,+34:08:26.7,Aur,7.2,,6.0,6.09,6.0,https://en.wikipedia.org/wiki/Messier_36,,MWSC 0594
88,NGC6218,GCl,16:47:14.52,-01:56:52.2,Oph,11.1,,6.07,8.52,6.07,https://en.wikipedia.org/wiki/Messier_12,,MWSC 2464
89,NGC2437,OCl,07:41:46.82,-14:48:36.0,Pup,21.0,,6.1,6.33,6.1,https://en.wikipedia.org/wiki/Messier_46,,MWSC 1313
93,NGC6838,GCl,19:53:46.11,+18:46:42.2,Sge,6.9,,6.1,7.91,6.1,https://en.wikipedia.org/wiki/Messier_71,,MWSC 3200
95,NGC6656,GCl,18:36:24.20,-23:54:12.3,Sgr,12.6,,6.17,7.16,6.17,https://en.wikipedia.org/wiki/Messier_22,,MWSC 2961
96,NGC2447,OCl,07:44:29.23,-23:51:11.1,Pup,15.0,,6.2,6.57,6.2,https://en.wikipedia.org/wiki/Messier_93,,MWSC 1324
98,NGC7089,GCl,21:33:27.01,-00:49:23.9,Aqr,8.4,,6.25,,6.25,https://en.wikipedia.org/wiki/Messier_2,,MWSC 3526
101,NGC7078,GCl,21:29:58.38,+12:10:00.6,Peg,11.1,,6.3,3.0,6.3,https://en.wikipedia.org/wiki/Messier_15,,"IRAS 21274+1156,MWSC 3518,PN G065.0-27.3"
109,NGC1912,OCl,05:28:42.49,+35:51:17.7,Aur,9.6,,6.4,6.69,6.4,https://en.wikipedia.org/wiki/Messier_38,,MWSC 0557
112,NGC6809,GCl,19:39:59.40,-30:57:43.5,Sgr,12.0,,6.49,,6.49,https://en.wikipedia.org/wiki/Messier_55,,MWSC 3150
122,NGC6341,GCl,17:17:07.27,+43:08:11.5,Her,14.4,,6.52,,6.52,https://en.wikipedia.org/wiki/Messier_92,,MWSC 2557
127,NGC6913,OCl,20:23:57.77,+38:30:27.6,Cyg,3.6,,6.6,7.3,6.6,https://en.wikipedia.org/wiki/Messier_29,,MWSC 3329
142,NGC2682,OCl,08:51:20.13,+11:48:43.0,Cnc,33.0,,6.9,7.6,6.9,https://en.wikipedia.org/wiki/Messier_67,,MWSC 1585
144,NGC7654,OCl,23:24:48.40,+61:35:35.4,Cas,9.9,,6.9,,6.9,https://en.wikipedia.org/wiki/Messier_52,,MWSC 3725
147,NGC6613,OCl,18:19:58.49,-17:06:07.1,Sgr,6.0,,6.9,7.24,6.9,https://en.wikipedia.org/wiki/Messier_18,,MWSC 2892
149,NGC6626,GCl,18:24:32.89,-24:52:11.4,Sgr,5.1,,6.9,,6.9,https://en.wikipedia.org/wiki/Messier_28,,MWSC 2908
166,NGC7099,GCl,21:40:22.02,-23:10:44.7,Cap,9.0,,7.1,,7.1,https://en.wikipedia.org/wiki/Messier_30,,MWSC 3543
183,NGC5236,G,13:37:00.95,-29:51:55.5,Hya,13.61,13.21,7.21,7.82,7.21,https://en.wikipedia.org/wiki/Messier_83,Southern Pinwheel Galaxy,"2MASX J13370091-2951567,ESO 444-081,ESO-LV 444-0810,IRAS 13341-2936,MCG -05-32-050,PGC 048082,UGCA 366"
192,NGC6093,GCl,16:17:02.51,-22:58:30.4,Sco,5.7,,7.3,,7.3,https://en.wikipedia.org/wiki/Messier_80,,MWSC 2376
196,NGC6266,GCl,17:01:12.60,-30:06:44.5,Oph,7.8,,7.39,8.55,7.39,https://en.wikipedia.org/wiki/Messier_62,,MWSC 2512
208,NGC0581,OCl,01:33:21.81,+60:39:28.8,Cas,4.5,,7.4,7.72,7.4,https://en.wikipedia.org/wiki/Messier_103,,MWSC 0124
232,NGC6715,GCl,18:55:03.27,-30:28:42.6,Sgr,5.1,,7.7,,7.7,https://en.wikipedia.org/wiki/Messier_54,,MWSC 3023
238,NGC5024,GCl,13:12:55.23,+18:10:08.8,Com,9.0,,7.79,8.95,7.79,https://en.wikipedia.org/wiki/Messier_53,,MWSC 2094
253,NGC4590,GCl,12:39:28.01,-26:44:34.9,Hya,6.6,,7.96,10.26,7.96,https://en.wikipedia.org/wiki/Messier_68,,MWSC 2059
261,NGC2068,RfN,05:46:45.82,+00:04:45.5,Ori,4.5,,8.0,8.0,8.0,https://en.wikipedia.org/wiki/Messier_78,,MWSC 0664
270,NGC0221,G,00:42:41.83,+40:51:55.0,And,7.74,4.86,8.13,8.89,8.13,https://en.wikipedia.org/wiki/Messier_32,,"2MASX J00424182+4051546,IRAS 00399+4035,MCG +07-02-015,PGC 002555,UGC 00452"
271,NGC0205,G,00:40:22.08,+41:41:07.1,And,16.22,9.59,8.15,8.9,8.15,https://en.wikipedia.org/wiki/Messier_110,,"2MASX J00402207+4141070,IRAS 00376+4124,MCG +07-02-014,PGC 002429,UGC 00426"
272,NGC1904,GCl,05:24:10.59,-24:31:27.2,Lep,7.2,,8.16,9.21,8.16,https://en.wikipedia.org/wiki/Messier_79,,MWSC 0528
285,NGC4736,G,12:50:53.06,+41:07:13.6,CVn,7.74,6.68,8.24,8.71,8.24,https://en.wikipedia.org/wiki/Messier_94,,"2MASX J12505314+4107125,IRAS 12485+4123,MCG +07-26-058,PGC 043495,UGC 07996"
286,NGC6864,GCl,20:06:04.84,-21:55:20.0,Sgr,3.6,,8.26,,8.26,https://en.wikipedia.org/wiki/Messier_75,,"2MASX J20060484-2155201,MWSC 3254"
287,NGC4472,G,12:29:46.76,+08:00:01.7,Vir,10.21,8.38,8.28,9.35,8.28,https://en.wikipedia.org/wiki/Messier_49,,"2MASX J12294679+0800014,MCG +01-32-083,PGC 041220,SDSS J122946.76+080001.7,UGC 07629"
297,NGC6637,GCl,18:31:23.23,-32:20:52.7,Sgr,5.7,,8.31,9.32,8.31,https://en.wikipedia.org/wiki/Messier_69,,MWSC 2936
303,NGC6779,GCl,19:16:35.51,+30:11:04.2,Lyr,5.8,,8.4,8.9,8.4,https://en.wikipedia.org/wiki/Messier_56,,MWSC 3077
311,NGC6333,GCl,17:19:11.78,-18:30:58.5,Oph,6.9,,8.42,9.36,8.42,https://en.wikipedia.org/wiki/Messier_9,,MWSC 2567
312,NGC2403,G,07:36:51.40,+65:36:09.2,Cam,19.95,10.07,8.43,8.83,8.43,https://en.wikipedia.org/wiki/NGC_2403,,"2MASX J07365139+6536091,C 007,IRAS 07321+6543,MCG +11-10-007,PGC 021396,UGC 03918"
327,NGC4826,G,12:56:43.64,+21:40:58.7,Com,10.52,5.33,8.52,9.27,8.52,https://en.wikipedia.org/wiki/Messier_64,"Black Eye Galaxy,Evil Eye Galaxy","2MASX J12564369+2140575,IRAS 12542+2157,MCG +04-31-001,PGC 044182,UGC 08062"
329,NGC0055,G,00:14:53.60,-39:11:47.9,Scl,29.85,3.05,8.54,8.39,8.54,https://en.wikipedia.org/wiki/NGC_55,,"2MASX J00145360-3911478,C 072,ESO 293-050,ESO-LV 293-0500,IRAS 00125-3928,MCG -07-01-013,PGC 001014"
337,NGC5055,G,13:15:49.33,+42:01:45.4,CVn,11.83,7.16,8.61,9.32,8.61,https://en.wikipedia.org/wiki/Messier_63,Sunflower Galaxy,"2MASX J13154932+4201454,IRAS 13135+4217,MCG +07-27-054,PGC 046153,SDSS J131549.26+420145.8,UGC 08334"
339,NGC0300,G,00:54:53.48,-37:41:03.8,Scl,19.41,13.06,8.66,8.77,8.66,https://en.wikipedia.org/wiki/NGC_300,,"2MASX J00545347-3741037,C 070,ESO 295-020,ESO-LV 295-0200,IRAS 00525-3757,MCG -06-03-005,PGC 003238"
341,NGC1269,G,03:17:18.59,-41:06:29.0,Eri,11.17,9.93,8.7,9.42,8.7,https://en.wikipedia.org/wiki/NGC_1269,,"2MASX J03171859-4106290,ESO 301-002,ESO-LV 301-0020,IRAS 03154-4117,MCG -07-07-008,PGC 012209"
343,NGC4649,G,12:43:39.98,+11:33:09.7,Vir,6.78,5.45,8.79,9.79,8.79,https://en.wikipedia.org/wiki/Messier_60,,"2MASS J12434000+1133099,2MASX J12434000+1133093,MCG +02-33-002,PGC 042831,SDSS J124339.97+113309.7,UGC 07898"
353,NGC6171,GCl,16:32:31.92,-13:03:13.1,Oph,7.8,,8.85,9.96,8.85,https://en.wikipedia.org/wiki/Messier_107,,MWSC 2422
354,NGC4406,G,12:26:11.74,+12:56:46.4,Vir,11.53,8.43,8.86,9.74,8.86,https://en.wikipedia.org/wiki/Messier_86,,"2MASX J12261181+1256454,MCG +02-32-046,PGC 040653,SDSS J122611.75+125646.3,UGC 07532"
358,NGC6694,OCl,18:45:18.66,-09:23:01.0,Sct,6.0,,8.87,8.0,8.87,https://en.wikipedia.org/wiki/Messier_26,,MWSC 2987
367,NGC6994,Other,20:58:55.97,-12:38:07.8,Aqr,,,8.9,,8.9,https://en.wikipedia.org/wiki/Messier_73,,
368,NGC2903,G,09:32:10.11,+21:30:03.0,Leo,11.94,5.28,8.91,9.53,8.91,https://en.wikipedia.org/wiki/NGC_2903,,"2MASX J09321011+2130029,IRAS 09293+2143,MCG +04-23-009,PGC 027077,UGC 05079"
