otype,label,description
*,Star,Star
**,**,Double or Multiple Star
**?,**_Candidate,Double or Multiple Star Candidate
?,Unknown,Object of Unknown Nature
AB*,AGB*,Asymptotic Giant Branch Star
AB?,AGB*_Candidate,Asymptotic Giant Branch Star Candidate
AG?,AGN_Candidate,Active Galaxy Nucleus Candidate
AGN,AGN,Active Galaxy Nucleus
Ae*,Ae*,Herbig Ae/Be Star
Ae?,Ae*_Candidate,Herbig Ae/Be Star Candidate
As*,Association,Association of Stars
As?,Association_Candidate,Association of Stars Candidate
BD*,BrownD*,Brown Dwarf
BD?,BrownD*_Candidate,Brown Dwarf Candidate
BH,BlackHole,Black Hole
BH?,BlackHole_Candidate,Black Hole Candidate
BL?,BLLac_Candidate,BL Lac Candidate
BLL,BLLac,BL Lac
BS*,BlueStraggler,Blue Straggler
BS?,BlueStraggler_Candidate,Blue Straggler Candidate
BY*,BYDraV*,BY Dra Variable
BY?,BYDraV*_Candidate,BY Dra Variable Candidate
Be*,Be*,Be Star
Be?,Be*_Candidate,Be Star Candidate
BiC,BrightestCG,Brightest Galaxy in a Cluster (BCG)
Bla,Blazar,Blazar
Bz?,Blazar_Candidate,Blazar Candidate
C*,C*,Carbon Star
C*?,C*_Candidate,Carbon Star Candidate
C?G,ClG_Candidate,Cluster of Galaxies Candidate
CGG,Compact_Gr_G,Compact Group of Galaxies
CGb,ComGlob,Cometary Globule / Pillar
CV*,CataclyV*,Cataclysmic Binary
CV?,CataclyV*_Candidate,Cataclysmic Binary Candidate
Ce*,Cepheid,Cepheid Variable
Ce?,Cepheid_Candidate,Cepheid Variable Candidate
Cl*,Cluster*,Cluster of Stars
Cl?,Cluster*_Candidate,Cluster of Stars Candidate
ClG,ClG,Cluster of Galaxies
Cld,Cloud,Cloud
DNe,DarkNeb,Dark Cloud (nebula)
EB*,EclBin,Eclipsing Binary
EB?,EclBin_Candidate,Eclipsing Binary Candidate
El*,EllipVar,Ellipsoidal Variable
El?,EllipVar_Candidate,Ellipsoidal Variable Candidate
Em*,EmLine*,Emission-line Star
EmG,EmissionG,Emission-line galaxy
EmO,EmObj,Emission Object
Er*,Eruptive*,Eruptive Variable
Er?,Eruptive*_Candidate,Eruptive Variable Candidate
Ev*,Evolved*,Evolved Star
Ev?,Evolved*_Candidate,Evolved Star Candidate
FIR,FarIR,Far-IR source (λ >= 30 µm)
G,Galaxy,Galaxy
G?,Galaxy_Candidate,Galaxy Candidate
GNe,GalNeb,Nebula
GWE,GravWaveEvent,Gravitational Wave Event
GiC,GtowardsCl,Galaxy towards a Cluster of Galaxies
GiG,GtowardsGroup,Galaxy towards a Group of Galaxies
GiP,GinPair,Galaxy in Pair of Galaxies
Gl?,GlobCluster_Candidate,Globular Cluster Candidate
GlC,GlobCluster,Globular Cluster
Gr?,GroupG_Candidate,Group of Galaxies Candidate
GrG,GroupG,Group of Galaxies
H2G,HIIG,HII Galaxy
HB*,HorBranch*,Horizontal Branch Star
HB?,HorBranch*_Candidate,Horizontal Branch Star Candidate
